,CGA,PT
Final Avg. Fitness,-0.49706653423139274,-0.4645702190327909
Final Avg. Fitness Std,0.0,0.0
Final Min. Fitness,-0.6900789404686125,-0.7081466547549878
Final Min. Fitness Std,0.0,0.0
Total Time Taken,299.1920518875122,592.6563665866852
Time Taken Std,0.0,0.0
Mean Iters to Convergence,9349.0,11991.0
Mean Best Solution,"[3.10370992 3.02718856 1.62447231 0.5871856  0.53627267 0.61304027
 0.52941284 0.48082145]","[3.11107738 2.9479856  3.07088851 1.64256981 0.3356233  0.46361719
 0.42837701 0.24570423]"
