,CGA,PT
Final Avg. Fitness,-0.5430612503090485,-0.4181204602814816
Final Avg. Fitness Std,0.016577901058545935,0.015358815141416413
Final Min. Fitness,-0.709895798949275,-0.691339238292986
Final Min. Fitness Std,0.020827695005965645,0.03043844790622522
Total Time Taken,90.48496744155884,170.15464658737181
Time Taken Std,1.4115261236997894,4.5438649806109215
Mean Iters to Convergence,4914.54,5247.48
Mean Best Solution,"[3.09591858 3.03587839 2.74237    1.38674504 0.69373476 0.42972398
 0.35063415 0.35390884]","[3.11472988 2.96313606 2.76836915 1.3707924  0.65082983 0.50910921
 0.40659709 0.40242741]"
